precipitation,quality_code,modified_date,station_id,name,ref,lat,lon,altitude
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.2,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.3000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.2,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.8000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.1,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.3,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.1,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
4.7,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
3.4000000000000004,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.6,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.6,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.3000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.6,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.3000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.8000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
3.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
3.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.9000000000000004,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.3000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
3.7,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
3.7,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
4.4,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.8000000000000003,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
2.2,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.8,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.5,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
